id,name,url,phone,search_query,categories,address,city,country,rating,review_count,lat,lng,minutes_open_weekly
ChIJkxc1USZEiEgR3lLJy-FLCJk,Sauchiehall Barbers Glasgow,http://www.sauchiebarbers.co.uk/,0141 332 0900,Barbers in Glasgow,"barber_shop,hair_salon,hair_care,beauty_salon,health,service,point_of_interest,establishment","279 Sauchiehall St, Glasgow G2 3HQ, UK",,United Kingdom,4.9,2387,55.8653505,-4.263782,3030
ChIJza7SpUNFiEgRhnyk4ZZgrr0,Fade N Flow,https://www.fadeandflowbarbers.com/,07506 072222,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","178 Hope St, Glasgow G2 2TU, UK",,United Kingdom,4.9,510,55.863662899999994,-4.2573384,4020
ChIJsZA_bNdHiEgR_6koqEl2bkY,Clean Fades Barber,http://www.cleanfade.co.uk/,07309 647423,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","280 Gallowgate, Glasgow G4 0TU, UK",,United Kingdom,5,411,55.8551991,-4.2357355000000005,3120
ChIJRS8cYZ5GiEgRg4MFr6un5KA,Central barber shop,https://www.centralbarbersglasgow.com/book-online,07468 593057,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","85 Union St, Glasgow G1 3TA, UK",,United Kingdom,4.8,383,55.859842699999994,-4.2572852999999995,4020
ChIJIXQeKZ5GiEgROyqvugh6mZ0,PARAGON - Modern Barbering (City Centre),https://paragonbarbering.com/,0141 204 2219,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","117 W George St, Glasgow G2 1QR, UK",,United Kingdom,4.9,601,55.8621826,-4.2559702999999995,3420
ChIJEVFJ6c9FiEgRfTwKPw92Grw,Brother Barbers Glasgow West End,https://www.brotherformen.co.uk/,0141 237 7090,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","121 Byres Rd, Glasgow G12 8TT, UK",,United Kingdom,4.9,637,55.872967,-4.2965089999999995,3030
ChIJVdo9R9FFiEgRHD7HRz4ki1o,The Briar Grove Barbers,http://www.thebriargrovebarbers.co.uk/,0141 357 3597,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","The Brair Grove Barbers, 1373 Argyle St, Glasgow G3 8AF, UK",,United Kingdom,4.9,181,55.8677262,-4.2915624999999995,3450
ChIJw1PC4pJHiEgROlNLkbv4Yrg,Barber A Glasgow,,07736 931994,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","142 Crownpoint Rd, Glasgow G40 2AE, UK",,United Kingdom,5,102,55.852247399999996,-4.2229257,1620
ChIJV7RLnL5HiEgRFNzvaBvWLbM,PRECISION INTENTS BARBERSHOP,http://barberprecision.biz/,07733 802546,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","139 Stockwell St, Glasgow G1 4LR, UK",,United Kingdom,5,136,55.855029200000004,-4.2499818,3720
ChIJP2tuTSFEiEgR8OOjoiQbnoo,The G barbers,https://www.fresha.com/a/the-g-barbers-glasgow-uk-113-cambridge-street-qvrypgrf/all-offer?menu=true&pId=538336&fbclid=PAY2xjawI6G6JleHRuA2FlbQIxMAABpjPjwGQq9ME2--Ml66rRI5nwNrOm_fS1NHiM9XFjzcAslFZ8IJjXSISv7Q_aem_pzBGI4CIY5X1e8YHnwpqTw,07450 592949,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","113 Cambridge St, Glasgow G3 6RU, UK",,United Kingdom,4.9,317,55.8670792,-4.2597135999999995,3240
ChIJHdEhk4tHiEgR1OeqkgMogxU,The Glasgow Grooming Company,http://www.glasgowgrooming.com/,0141 649 7686,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","48 Battlefield Rd, Glasgow G42 9QH, UK",,United Kingdom,5,423,55.8272549,-4.2685363,2700
ChIJ-xxDJo5HiEgRY6jwNVJZ_iU,Beardy Beardy ‘Glasgow City Centre’,http://beardybeardy.com/,0141 221 2174,Barbers in Glasgow,"barber_shop,hair_salon,hair_care,health,service,point_of_interest,establishment","21 Renfield St, Glasgow G2 5AH, UK",,United Kingdom,4.8,330,55.8612538,-4.2569509,3840
ChIJ0R10C0VFiEgR5KQM3RuVNSI,Herondale's Barbershop,https://herondalesbarbershop.com/,0141 345 2673,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","2nd Floor, 121 Bath St, Glasgow G2 2SZ, UK",,United Kingdom,5,84,55.8641651,-4.2595377999999995,2220
ChIJQa2JxCBEiEgR_X-Yrz8CuCk,House Martin,http://www.housemartinbarbers.co.uk/,0141 352 9775,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","94 Bath St, Glasgow G2 2EN, UK",,United Kingdom,4.7,247,55.8641066,-4.2576998999999995,3300
ChIJiajObKFGiEgR7qqD0O5_zFk,Mr Blonde,https://mr-blonde.uk/,07783 016083,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","20 Wilson St, Glasgow G1 1SS, UK",,United Kingdom,4.9,157,55.8585416,-4.2462081,3570
ChIJ495LOvpGiEgRlJ5PUul12Cg,Brush Barbers,https://www.brushbarbers.com/,0141 649 5763,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","23 Sinclair Dr, Langside, Glasgow G42 9PR, UK",,United Kingdom,5,351,55.826651200000008,-4.2669641,2940
ChIJm5Ga3G1FiEgR8KLa4WhnO5o,Bee Barber,,07555 547586,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","1022 Argyle St, Finnieston, Glasgow G3 8LX, UK",,United Kingdom,5,305,55.864168600000006,-4.2820554,4560
ChIJDQTm-E9FiEgRHJVovBOt52E,Column | Glasgow Barbers,https://columnbarbers.com/,,Barbers in Glasgow,"barber_shop,hair_care,health,service,point_of_interest,establishment","1103 The Hidden Ln, Argyle St, Finnieston, Glasgow G3 8ND, UK",,United Kingdom,5,73,55.8643596,-4.2837642,2880
